Video name,Date recorded,Time treatment added,Total time,Treatment
GOPR1756,8/3/15,2:05,12:07,Clean Plastic (high)
GOPR1759,8/3/15,2:05,12:09,Bf Plastic (high)
GOPR1763,8/4/15,2:05,12:08,Krill odor (low)
GOPR1766,8/4/15,2:05,12:09,Krill odor (med)
GOPR1768,8/4/15,2:05,12:08,Clean Plastic (high)
GOPR1771,8/4/15,2:05,12:08,Bf Plastic (high)
GOPR1774,8/4/15,2:05,12:08,Krill odor (high)
GOPR1777,8/4/15,2:05,12:08,Clean Plastic (high)
GOPR1780,8/4/15,2:05,12:08,SW Control
GOPR1783,8/4/15,2:05,12:13,Food
GOPR1786,8/5/15,2:05,12:10,Krill odor (med)
GOPR1789,8/5/15,2:05,12:09,Bf Plastic (high)
GOPR1792,8/5/15,2:05,12:08,Clean Plastic (high)
GOPR1795,8/5/15,2:05,12:09,Krill odor (high)
GOPR1798,8/5/15,2:05,12:08,Clean Plastic (high)
GOPR1801,8/5/15,2:05,12:09,SW Control
GOPR1804,8/5/15,2:05,12:09,Krill odor (high)
GOPR1808,8/5/15,2:05,12:12,Food
